group_set,group_value,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,efg_pct,blka,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,efg_pct_rank,blka_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,cfid,cfparams,na,time
Shot Type,Running Reverse Dunk Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,38,6,8,6,38,1,21,28,6,6,24,29,174,Running Reverse Dunk Shot,NA,Af
Shot Type,Running Reverse Layup Shot,1,3,0.333,0,0,0,0.333,1,0,1,0,0,0,1,29,29,33,6,8,6,33,30,21,1,6,6,24,1,174,Running Reverse Layup Shot,NA,Af
Shot Type,Step Back Bank Jump Shot,0,1,0,0,1,0,0,0,0,0,0,0,0,0,38,34,38,6,6,6,38,1,21,28,6,6,24,29,174,Step Back Bank Jump Shot,NA,Af
Shot Type,Step Back Jump shot,59,156,0.378,57,151,0.377,0.561,2,0,1,0.105,0.895,0.102,0.898,3,3,30,2,2,3,21,34,21,1,5,1,23,15,174,Step Back Jump shot,NA,Af
Shot Type,Tip Dunk Shot,3,3,1,0,0,0,1,0,0,1,0,0,0,1,23,29,1,6,8,6,1,1,21,1,6,6,24,1,174,Tip Dunk Shot,NA,Af
Shot Type,Tip Layup Shot,17,23,0.739,0,0,0,0.739,0,0,1,0,0,0,1,10,12,13,6,8,6,14,1,21,1,6,6,24,1,174,Tip Layup Shot,NA,Af
Shot Type,Turnaround Bank Hook Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,38,6,8,6,38,1,21,28,6,6,24,29,174,Turnaround Bank Hook Shot,NA,Af
Shot Type,Turnaround Fadeaway Bank Jump Shot,2,4,0.5,0,0,0,0.5,0,0,1,0,0,0,1,25,27,22,6,8,6,26,1,21,1,6,6,24,1,174,Turnaround Fadeaway Bank Jump Shot,NA,Af
Shot Type,Turnaround Fadeaway shot,1,6,0.167,0,0,0,0.167,0,0,1,0,0,0,1,29,23,37,6,8,6,37,1,21,1,6,6,24,1,174,Turnaround Fadeaway shot,NA,Af
Shot Type,Turnaround Hook Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,38,6,8,6,38,1,21,28,6,6,24,29,174,Turnaround Hook Shot,NA,Af
Shot Type,Turnaround Jump Shot,2,6,0.333,0,0,0,0.333,0,0,1,0,0,0,1,25,23,33,6,8,6,33,1,21,1,6,6,24,1,174,Turnaround Jump Shot,NA,Af
Assisted By,203998,"Caboclo, Bruno",2,2,1,2,2,1,1.5,0,0,0,1,0,1,0,13,13,1,12,12,1,1,1,14,1,1,1,1,1,168,203998,Af
Assisted By,201960,"Carroll, DeMarre",7,7,1,6,6,1,1.429,0,1,0,1,0,1,0,10,10,1,10,10,1,3,1,1,1,1,1,1,1,168,201960,Af
Assisted By,1629598,"Clemons, Chris",3,3,1,0,0,0,1,0,1,0,0,0,1,0,12,12,1,15,15,15,15,1,1,1,15,1,1,1,168,1629598,Af
Assisted By,203496,"Covington, Robert",18,18,1,11,11,1,1.306,0,1,0,1,0,1,0,7,7,1,6,6,1,9,1,1,1,1,1,1,1,168,203496,Af
Assisted By,201569,"Gordon, Eric",20,20,1,16,16,1,1.4,0,1,0,1,0,1,0,6,6,1,3,3,1,5,1,1,1,1,1,1,1,168,201569,Af
Assisted By,201145,"Green, Jeff",12,12,1,8,8,1,1.333,0,1,0,1,0,1,0,8,8,1,9,9,1,8,1,1,1,1,1,1,1,168,201145,Af
Assisted By,201935,"Harden, James",132,132,1,55,55,1,1.208,0,1,0,1,0,1,0,1,1,1,1,1,1,14,1,1,1,1,1,1,1,168,201935,Af
Assisted By,1628392,"Hartenstein, Isaiah",2,2,1,1,1,1,1.25,0,1,0,1,0,1,0,13,13,1,13,13,1,12,1,1,1,1,1,1,1,168,1628392,Af
Assisted By,1627863,"House Jr., Danuel",26,26,1,15,15,1,1.288,0,1,0,1,0,1,0,4,4,1,5,5,1,11,1,1,1,1,1,1,1,168,1627863,Af
Assisted By,1629739,"Howard, William",1,1,1,1,1,1,1.5,0,0,0,1,0,1,0,15,15,1,13,13,1,1,1,14,1,1,1,1,1,168,1629739,Af
Assisted By,203463,"McLemore, Ben",11,11,1,9,9,1,1.409,0,1,0,1,0,1,0,9,9,1,8,8,1,4,1,1,1,1,1,1,1,168,203463,Af
Assisted By,203085,"Rivers, Austin",27,27,1,16,16,1,1.296,0,1,0,1,0,1,0,3,3,1,3,3,1,10,1,1,1,1,1,1,1,168,203085,Af
Assisted By,200757,"Sefolosha, Thabo",7,7,1,5,5,1,1.357,0,1,0,1,0,1,0,10,10,1,11,11,1,6,1,1,1,1,1,1,1,168,200757,Af
Assisted By,200782,"Tucker, P.J.",22,22,1,11,11,1,1.25,0,1,0,1,0,1,0,5,5,1,6,6,1,12,1,1,1,1,1,1,1,168,200782,Af
Assisted By,201566,"Westbrook, Russell",76,76,1,53,53,1,1.349,0,1,0,1,0,1,0,2,2,1,2,2,1,7,1,1,1,1,1,1,1,168,201566,Af
